,Notes,UCD - ICD Chapter,UCD - ICD Chapter Code,Race,Race Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Deaths,Population
13,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2013.0,2013.0,17.0,27387,Unreliable
14,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2014.0,2014.0,21.0,29267,71.8
15,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2015.0,2015.0,15.0,31103,Unreliable
16,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2016.0,2016.0,15.0,32364,Unreliable
17,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2017.0,2017.0,18.0,35614,Unreliable
18,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2001.0,2001.0,10.0,4172,Unreliable
19,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2008.0,2008.0,16.0,6763,Unreliable
20,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2009.0,2009.0,11.0,7192,Unreliable
21,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2010.0,2010.0,10.0,7550,Unreliable
22,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2012.0,2012.0,20.0,9318,214.6
23,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2013.0,2013.0,17.0,10305,Unreliable
24,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2014.0,2014.0,20.0,11089,180.4
25,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2015.0,2015.0,15.0,12198,Unreliable
26,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2016.0,2016.0,10.0,13049,Unreliable
27,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,85+ years,85+,2017.0,2017.0,17.0,14833,Unreliable
28,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,1999.0,1999.0,11.0,73148,Unreliable
29,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2000.0,2000.0,11.0,77189,Unreliable
30,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2002.0,2002.0,21.0,86229,24.4
31,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2004.0,2004.0,11.0,92648,Unreliable
32,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2005.0,2005.0,11.0,95498,Unreliable
33,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2006.0,2006.0,11.0,98052,Unreliable
34,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2010.0,2010.0,11.0,109332,Unreliable
35,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,45-54 years,45-54,2014.0,2014.0,14.0,115428,Unreliable
36,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2000.0,2000.0,14.0,42375,Unreliable
37,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2002.0,2002.0,16.0,47956,Unreliable
38,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2003.0,2003.0,13.0,51026,Unreliable
39,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2008.0,2008.0,14.0,69813,Unreliable
40,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2010.0,2010.0,10.0,78095,Unreliable
41,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2011.0,2011.0,19.0,83559,Unreliable
42,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2012.0,2012.0,10.0,87955,Unreliable
43,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2014.0,2014.0,14.0,96784,Unreliable
44,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2015.0,2015.0,10.0,100877,Unreliable
45,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2016.0,2016.0,16.0,102154,Unreliable
46,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,55-64 years,55-64,2017.0,2017.0,19.0,105817,Unreliable
47,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,1999.0,1999.0,10.0,21559,Unreliable
48,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2000.0,2000.0,11.0,22875,Unreliable
49,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2001.0,2001.0,12.0,24940,Unreliable
50,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2003.0,2003.0,11.0,28495,Unreliable
51,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2004.0,2004.0,11.0,30181,Unreliable
52,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2006.0,2006.0,15.0,33376,Unreliable
53,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2008.0,2008.0,14.0,36694,Unreliable
54,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2009.0,2009.0,11.0,38307,Unreliable
55,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2010.0,2010.0,12.0,39677,Unreliable
56,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2012.0,2012.0,10.0,44495,Unreliable
57,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2013.0,2013.0,15.0,48097,Unreliable
58,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2014.0,2014.0,19.0,52213,Unreliable
59,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2015.0,2015.0,14.0,56546,Unreliable
60,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2016.0,2016.0,14.0,58876,Unreliable
61,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,65-74 years,65-74,2017.0,2017.0,19.0,63745,Unreliable
62,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,1999.0,1999.0,11.0,8990,Unreliable
63,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2001.0,2001.0,13.0,10147,Unreliable
64,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2002.0,2002.0,10.0,10804,Unreliable
65,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2004.0,2004.0,12.0,12269,Unreliable
66,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2005.0,2005.0,14.0,13075,Unreliable
67,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2006.0,2006.0,12.0,13841,Unreliable
68,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2007.0,2007.0,13.0,14625,Unreliable
69,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2010.0,2010.0,14.0,17424,Unreliable
70,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2011.0,2011.0,23.0,18995,121.1
71,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2012.0,2012.0,13.0,20482,Unreliable
72,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2013.0,2013.0,15.0,22062,Unreliable
73,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2014.0,2014.0,20.0,23734,84.3
74,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2015.0,2015.0,34.0,25538,133.1
75,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2016.0,2016.0,20.0,26574,75.3
76,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,75-84 years,75-84,2017.0,2017.0,21.0,28950,72.5
77,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2011.0,2011.0,14.0,5079,Unreliable
78,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2012.0,2012.0,13.0,5528,Unreliable
79,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2013.0,2013.0,12.0,6181,Unreliable
80,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2014.0,2014.0,22.0,6760,325.4
81,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2015.0,2015.0,13.0,7464,Unreliable
82,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2016.0,2016.0,18.0,8034,Unreliable
83,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Male,M,85+ years,85+,2017.0,2017.0,25.0,9303,268.7
84,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,15-24 years,15-24,1999.0,1999.0,10.0,268568,Unreliable
85,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,15-24 years,15-24,2001.0,2001.0,12.0,274004,Unreliable
86,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,15-24 years,15-24,2003.0,2003.0,14.0,277667,Unreliable
87,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,15-24 years,15-24,2005.0,2005.0,16.0,282546,Unreliable
88,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,15-24 years,15-24,2006.0,2006.0,10.0,283746,Unreliable
89,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,1999.0,1999.0,80.0,289569,27.6
90,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2000.0,2000.0,68.0,284275,23.9
91,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2001.0,2001.0,75.0,276910,27.1
92,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2002.0,2002.0,57.0,273620,20.8
93,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2003.0,2003.0,34.0,270572,12.6
94,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2004.0,2004.0,45.0,267272,16.8
95,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2005.0,2005.0,33.0,261826,12.6
96,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2006.0,2006.0,22.0,258944,8.5
97,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2007.0,2007.0,24.0,258373,9.3
98,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2008.0,2008.0,28.0,259702,10.8
99,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2009.0,2009.0,22.0,263781,8.3
100,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2010.0,2010.0,10.0,266023,Unreliable
101,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2011.0,2011.0,14.0,268638,Unreliable
102,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2012.0,2012.0,14.0,271528,Unreliable
103,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2014.0,2014.0,14.0,281909,Unreliable
104,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2016.0,2016.0,11.0,291591,Unreliable
105,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,25-34 years,25-34,2017.0,2017.0,10.0,298267,Unreliable
106,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,1999.0,1999.0,198.0,296913,66.7
107,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2000.0,2000.0,181.0,299408,60.5
108,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2001.0,2001.0,172.0,303246,56.7
109,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2002.0,2002.0,166.0,302101,54.9
110,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2003.0,2003.0,158.0,300353,52.6
111,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2004.0,2004.0,153.0,296329,51.6
112,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2005.0,2005.0,128.0,291775,43.9
113,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2006.0,2006.0,113.0,287171,39.3
114,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2007.0,2007.0,109.0,279844,39.0
115,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2008.0,2008.0,67.0,273206,24.5
116,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2009.0,2009.0,61.0,265883,22.9
117,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2010.0,2010.0,39.0,262068,14.9
118,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2011.0,2011.0,51.0,256625,19.9
119,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2012.0,2012.0,34.0,254511,13.4
120,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2013.0,2013.0,23.0,252120,9.1
121,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2014.0,2014.0,19.0,253317,Unreliable
122,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2015.0,2015.0,26.0,252142,10.3
123,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2016.0,2016.0,30.0,249130,12.0
124,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,35-44 years,35-44,2017.0,2017.0,27.0,250095,10.8
125,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,1999.0,1999.0,162.0,219892,73.7
126,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2000.0,2000.0,174.0,224544,77.5
127,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2001.0,2001.0,166.0,233053,71.2
128,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2002.0,2002.0,153.0,238262,64.2
129,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2003.0,2003.0,160.0,243359,65.7
130,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2004.0,2004.0,179.0,248317,72.1
131,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2005.0,2005.0,164.0,252836,64.9
132,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2006.0,2006.0,170.0,257601,66.0
133,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2007.0,2007.0,153.0,261804,58.4
134,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2008.0,2008.0,140.0,267318,52.4
135,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2009.0,2009.0,145.0,273098,53.1
136,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2010.0,2010.0,106.0,276561,38.3
137,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2011.0,2011.0,89.0,277934,32.0
138,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2012.0,2012.0,92.0,277308,33.2
139,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2013.0,2013.0,86.0,277141,31.0
140,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2014.0,2014.0,59.0,276522,21.3
141,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2015.0,2015.0,52.0,274112,19.0
142,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2016.0,2016.0,63.0,269952,23.3
143,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,45-54 years,45-54,2017.0,2017.0,47.0,266161,17.7
144,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,1999.0,1999.0,75.0,152022,49.3
145,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2000.0,2000.0,73.0,155195,47.0
146,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2001.0,2001.0,76.0,158927,47.8
147,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2002.0,2002.0,74.0,163961,45.1
148,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2003.0,2003.0,60.0,168009,35.7
149,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2004.0,2004.0,77.0,172724,44.6
150,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2005.0,2005.0,96.0,177586,54.1
151,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2006.0,2006.0,91.0,181797,50.1
152,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2007.0,2007.0,81.0,185106,43.8
153,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2008.0,2008.0,90.0,188532,47.7
154,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2009.0,2009.0,101.0,193544,52.2
155,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2010.0,2010.0,115.0,198843,57.8
156,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2011.0,2011.0,94.0,207528,45.3
157,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2012.0,2012.0,98.0,213550,45.9
158,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2013.0,2013.0,113.0,218859,51.6
159,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2014.0,2014.0,105.0,225352,46.6
160,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2015.0,2015.0,78.0,231348,33.7
161,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2016.0,2016.0,78.0,236124,33.0
162,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,55-64 years,55-64,2017.0,2017.0,70.0,242248,28.9
163,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,1999.0,1999.0,77.0,98886,77.9
164,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2000.0,2000.0,61.0,100951,60.4
165,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2001.0,2001.0,65.0,103088,63.1
166,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2002.0,2002.0,48.0,105006,45.7
167,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2003.0,2003.0,60.0,107220,56.0
168,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2004.0,2004.0,62.0,108910,56.9
169,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2005.0,2005.0,65.0,110617,58.8
170,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2006.0,2006.0,65.0,111785,58.1
171,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2007.0,2007.0,63.0,114104,55.2
172,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2008.0,2008.0,52.0,117559,44.2
173,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2009.0,2009.0,56.0,120840,46.3
174,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2010.0,2010.0,71.0,122924,57.8
175,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2011.0,2011.0,70.0,126305,55.4
176,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2012.0,2012.0,77.0,130983,58.8
177,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2013.0,2013.0,69.0,135277,51.0
178,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2014.0,2014.0,87.0,140547,61.9
179,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2015.0,2015.0,75.0,145462,51.6
180,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2016.0,2016.0,68.0,149342,45.5
181,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,65-74 years,65-74,2017.0,2017.0,71.0,155077,45.8
182,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,75-84 years,75-84,1999.0,1999.0,72.0,56852,126.6
183,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,75-84 years,75-84,2000.0,2000.0,75.0,58516,128.2
184,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,75-84 years,75-84,2001.0,2001.0,72.0,61006,118.0
185,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,75-84 years,75-84,2002.0,2002.0,66.0,62742,105.2
186,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,75-84 years,75-84,2003.0,2003.0,56.0,64048,87.4
187,Certain infectious and parasitic diseases,A00-B99,Black or African American,2054-5,Female,F,75-84 years,75-84,2004.0,2004.0,72.0,64986,110.8
